file,line,specifier,binding,resolved_file,resolution
scripts/dev/lobby-card-shot.tsx,15,react-dom/server,{ renderToStaticMarkup },,External Or Requires Dynamic/Alias Review
scripts/dev/lobby-card-shot.tsx,16,fs,"{ readFileSync, writeFileSync, mkdirSync, existsSync }",,External Or Requires Dynamic/Alias Review
scripts/dev/lobby-card-shot.tsx,17,path,{ resolve },,External Or Requires Dynamic/Alias Review
scripts/dev/lobby-card-shot.tsx,18,playwright,{ chromium },,External Or Requires Dynamic/Alias Review
scripts/dev/lobby-card-shot.tsx,19,../../src/components/lobby/LobbyTable,"LobbyTable, { type LobbyCategory }",src/components/lobby/LobbyTable.tsx,Resolved Local File
scripts/dev/lobby-card-shot.tsx,20,../../src/components/lobby/lobbyEntries,"{
  cashEntry,
  tournamentEntry,
  type LobbyTableRow,
  type LobbyTournamentRow,
}",src/components/lobby/lobbyEntries.ts,Resolved Local File
scripts/dev/lobby-card-shot.tsx,305,vitest,"{ it, expect }",,External Or Requires Dynamic/Alias Review
scripts/dev/lobby375.config.ts,11,vitest/config,{ defineConfig },,External Or Requires Dynamic/Alias Review
scripts/dev/lobby375.config.ts,12,'@vitejs/plugin-react,react,,External Or Requires Dynamic/Alias Review
scripts/dev/lobby375.config.ts,13,path,path,,External Or Requires Dynamic/Alias Review
scripts/dev/measure-felt.mjs,24,playwright,{ chromium },,External Or Requires Dynamic/Alias Review
scripts/dev/measure-felt.mjs,25,node:path,"{ resolve, dirname }",,External Or Requires Dynamic/Alias Review
