file,line,kind,target,dynamic,file_kind,status
scripts/fund-chip-hierarchy.mjs,346,Table Candidate,agents,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,355,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,373,Table Candidate,club_members,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,380,Table Candidate,agents,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,389,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,398,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,409,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,416,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,531,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,542,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,548,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,554,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,568,Table Candidate,wallet_transactions,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,575,Table Candidate,wallet_transactions,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/fund-chip-hierarchy.mjs,582,Table Candidate,wallets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,62,HTTP,`${URL_BASE}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,117,HTTP,newUrl,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,133,HTTP,`${URL_BASE}/storage/v1/object/public/social-media/${sourceKey}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,139,Table Candidate,await dl.arrayBuffer(),True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,154,HTTP,newUrl,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/copy-horse-avatars-to-neutral-paths.mjs,165,Table Candidate,{ length: CONCURRENCY },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/delete-listable-horse-avatar-objects.mjs,60,HTTP,`${U}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/delete-listable-horse-avatar-objects.mjs,76,HTTP,`${U}/storage/v1/object/list/social-media`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/delete-listable-horse-avatar-objects.mjs,94,HTTP,`${U}/storage/v1/object/social-media`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/ops/delete-listable-horse-avatar-objects.mjs,102,HTTP,`${U}/storage/v1/object/list/social-media`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/optimize-dist-media.mjs,335,Table Candidate,"{ length: Math.min(POOL_WIDTH, candidates.length) }",True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/self-host-fonts.mjs,57,HTTP,cssUrl,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/self-host-fonts.mjs,74,HTTP,url,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/self-host-fonts.mjs,76,Table Candidate,await res.arrayBuffer(),True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/claude.mjs,55,HTTP,API_URL,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/fetch-issue.mjs,9,HTTP,`${SENTRY_API}${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/mark-errored.mjs,22,Table Candidate,autofix_attempts,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/pr.mjs,12,HTTP,`https://api.github.com${path}`,True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/run.mjs,44,Table Candidate,autofix_attempts,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/run.mjs,58,RPC,autofix_is_paused,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/sentry-autofix/run.mjs,70,RPC,autofix_budget_exhausted,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/upload_buttons/upload.js,48,Table Candidate,assets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/upload_buttons/upload.js,55,Table Candidate,assets,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/verify-tournaments.mjs,66,Table Candidate,tournaments,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/verify-tournaments.mjs,90,Table Candidate,tournament_players,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
scripts/verify-tournaments.mjs,125,Table Candidate,rake_records,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/benchmark-omaha-five-card.ts,33,Table Candidate,{ length: 1000 },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/generate-horse-alias-migration.ts,39,Table Candidate,profiles,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/horse-strategy-probe.ts,110,Table Candidate,{ length: nPlayers },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/measure-horse-decision-latency.ts,83,Table Candidate,{ length: seats },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/measure-horse-decision-latency.ts,90,Table Candidate,{ length: hole },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/measure-horse-decision-latency.ts,93,Table Candidate,{ length: board },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/scripts/measure-horse-decision-latency.ts,158,Table Candidate,{ length: 40 },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/sim/framework.ts,100,Table Candidate,{ length: opts.players },True,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
server/src/GameServer.ts,1459,Table Candidate,table_seats,False,runtime-or-tooling-source,"Trace Caller, Authorization, Payload, Effects And Receipt"
